Tag,basal_d,dbh,height,exposure,h_dbh,Notes,second coord,wsg
3519,30.8,14.7,8.65,4,,,,0.30931403
3509,34,20.5,8.8,4,,,,0.30931403
30063,41.3,16.7,9.75,4,,,,0.30931403
30059,26.5,12.7,3.95,3,,,,0.30931403
4511,36.7,16,9.95,4,,,,0.30931403
4514,31.2,15.2,8.05,4,,,,0.30931403
170572,25,10.9,2.65,2,,,,0.30931403
NA,34,14.7,9.4,4,,"
",,0.30931403
30023,40,17,8.7,4,,,,0.30931403
29128,40.4,18.1,9.2,4,,,,0.30931403
29740,35,17.5,6.4,3,,,,0.30931403
131813,17.3,9.6,2.1,2,,,,0.30931403
131813,15.4,9.9,0.65,1,,,-In the same area as 131813,0.30931403
131813,17.5,10.1,0.7,1,,,-In the same area as 131813,0.30931403
131813,16.8,8.4,0.75,1,,,-In the same area as 131813,0.30931403
176033,27.2,11.5,2.1,2,,,,0.30931403
132087,27,11.8,3.1,2,,,,0.30931403
22814,35,14.4,3.9,2,,,,0.30931403
44641,29,13.4,3.8,2,,,,0.30931403
44641,17.5,9.9,0.8,1,,,-In the same area as 44641,0.30931403
44641,11.1,6.7,0.5,1,,,-In the same area as 44641,0.30931403
2098,34,15.6,6.6,3,,,,0.30931403
9050,32.4,13,4.9,2,,,,0.30931403
132178,19.2,7.2,1.35,1,,,,0.30931403
132180,30,12.6,3.1,2,,,,0.30931403
133059,23.8,11.1,1.45,1,,,,0.30931403
133059,25,11.5,1.3,1,,,- same area as 133059,0.30931403
133058,29.5,11.9,2.2,2,,,,0.30931403
2617,38.9,16.5,12,4,,,,0.30931403
133066,26.1,11.8,2.9,2,,,,0.30931403
2625,33.2,15.2,7.6,3,,,,0.30931403
176904,26.7,12.2,2.1,2,,,,0.30931403
176705,19.8,14,1.8,2,,,,0.30931403
133083,24.4,10.6,3.3,2,,,,0.30931403
23075,29,14.3,5.4,3,,,,0.30931403
133094,34.4,16.4,4.75,2,,,,0.30931403
23070,32.9,13.5,7.3,4,,,,0.30931403
23032,37.7,14.2,7.9,4,,,,0.30931403
133090,25.8,11.6,3.1,2,,,,0.30931403
133098,28.2,12.8,3.1,2,,,,0.30931403
133098,14.1,6.6,0.65,1,,,-1m from 133098,0.30931403
4679,27.4,12.7,3.2,2,,,,0.30931403
23130,26,11.4,3.3,2,,,,0.30931403
7299,25.5,12.2,3.8,2,,,-3m from 7299,0.30931403
7299,28.3,14.9,3.2,2,,,,0.30931403
23160,25.3,16.7,4.2,3,,,,0.30931403
23159,29.1,13.8,4.9,3,,,,0.30931403
23062,34.2,14.3,6.2,3,,,,0.30931403
170089,24,10.4,1.6,2,,,,0.30931403
50807,26.2,11.1,2.7,2,,,,0.30931403
132222,24.9,10.2,2.4,2,,,,0.30931403
51806,24.9,10.4,3.6,2,,,,0.30931403
2141,31.2,13,7.45,3,,,,0.30931403
2141,23,10.2,3,2,,,-4m from 2141,0.30931403
11557,29.4,13,5,3,,,,0.30931403
2142,33.5,13.9,5.8,3,,,,0.30931403
1149,39.5,12.4,11.75,4,,,,0.30931403
1150,33.3,13.6,9.2,4,,,,0.30931403
18483,34.6,14.1,9.5,4,,,,0.30931403
5499,22.4,10.5,3.25,2,,,,0.30931403
1129,33.2,14.1,8.6,4,,,-10m from 1129,0.30931403
1129,38.9,17.1,9.2,4,,,,0.30931403
1128,37.8,15.9,8.6,4,,,,0.30931403
170083,22.3,10.2,1.55,1,,,,0.30931403
14915,31.6,13.8,5,3,,,,0.30931403
132209,25.4,12,2.8,1,,,,0.30931403
2113,25.2,16.5,6.2,4,,,,0.30931403
2114,37.9,16.7,10.1,4,,,,0.30931403
2106,23.2,14.8,9.1,4,,,,0.30931403
8063,32.7,14.3,9.2,4,,,,0.30931403
23110,26.3,14.1,6.05,3,,,,0.30931403
130183,29.2,13.4,3.1,2,,,,0.30931403
173615,23.1,12,1.55,2,,,,0.30931403
44953,31.9,14.9,5.5,3,,,,0.30931403
44953,18,9.1,0.9,1,,,-3m from 44953,0.30931403
130841,22.3,10.6,2.6,2,,,,0.30931403
130485,29.6,14.4,2.5,2,,,,0.30931403
130485,22.5,12.2,1.3,1,,,-6m from 130485,0.30931403
27456,19.5,8.8,2.1,2,,,,0.30931403
3593,36.3,15.4,10,4,,,,0.30931403
27490,23,11.9,3.5,2,,- double root system so 23 is the best estimate possible,,0.30931403
27490,20.8,13.5,1.1,1,,,-4m from 27490,0.30931403
130482,31,15.3,2.9,2,,,,0.30931403
168863,27.6,12,2,2,,,,0.30931403
3594,40.8,18.6,8.8,4,,,,0.30931403
29689,34.5,14.5,7.85,3,,,,0.30931403
131929,30.5,14.8,2.55,2,,,,0.30931403
131929,26.8,11,2.3,2,,,"- Tag fallen off, 3m from 131929",0.30931403
45693,33.8,14.7,4.4,2,,,,0.30931403
28025,35.1,17.7,8.4,3,,,,0.30931403
131944,20.3,10.3,1.7,2,,,,0.30931403
4604,28.9,15.5,6.5,3,,,,0.30931403
4599,35.8,16,9.9,3,,,,0.30931403
4596,28.2,13.2,8.3,3,,,,0.30931403
133520,19.8,7.7,1.2,1,,,,0.30931403
173464,24.7,9.8,1.95,2,,,,0.30931403
27971,22.2,10.5,2.1,2,,,,0.30931403
